"","Quarter","Year","AA Adj Close","AAPL Adj Close","MO Adj Close","F Adj Close","GVA Adj Close","JPM Adj Close","WMT Adj Close","MSFT Adj Close","S&P 500 Adj Close","AA % Change","AAPL % Change","MO % Change","F % Change","GVA % Change","JPM % Change","WMT % Change","MSFT % Change","S&P 500 % Change","CPI","Interest Rate","Unemployment Rate","Short Term NROU","Long Term NROU","GDP (billions)"
"1","Q3","1990",12.1135645873016,0.280171825396825,0.441666015873016,0.396993206349206,3.39675511111111,1.4863093968254,4.46235855555556,0.572971301587302,335.881745380952,4.54420772274395e-05,-0.00651947593351177,0.000210624274300994,-0.00251331915826362,-0.000778446052608412,-0.00592832458493734,-0.00170012385427085,-0.00249030467647866,-0.00241680127924795,1.72680412371135,0.082,0.057,0.0569390249252319,0.0569390249252319,6015.116
"2","Q4","1990",10.383716359375,0.255059390625,0.476459109375,0.36560515625,3.269800484375,0.90470603125,4.35252484375,0.60205846875,316.562033078125,-0.0010753369202302,0.00682080010661774,0.00261800167327013,0.00169118173534349,0.000790922452892198,-0.00400781816431534,0.0019879060696067,0.00304384077843806,0.00124786045893117,1.62148467190269,0.0731,0.0613333333333333,0.056748514175415,0.056748514175415,6004.733
"3","Q1","1991",11.9462917540984,0.418372655737705,0.604507245901639,0.509293180327869,3.67900780327869,1.16113785245902,5.22326581967213,0.845790327868852,352.282950967213,0.00246855675105048,0.00797451329258613,0.00495151591248257,0.00834255658428703,0.00231555807613644,0.00918233545623423,0.00435281017398855,0.00599557748185587,0.00215120795441878,0.822737471952145,0.0612,0.066,0.0565614557266235,0.0565614557266235,6035.178
"4","Q2","1991",12.877305390625,0.38509425,0.687586203125,0.659693890625,4.615461109375,1.66842321875,6.375798328125,0.941811328125,378.665936921875,0.00072046922229841,-0.00699720947118084,-0.000676654450018949,0.00366853264376505,0.00178595976590623,0.00413028617673725,0.00175617336681733,-0.000326315237899212,-0.000132173817918257,0.593471810089004,0.059,0.0683333333333333,0.0563783799999999,0.0563783799999999,6126.862
"5","Q3","1991",12.983859359375,0.360632875,0.73418709375,0.69605621875,4.027460453125,2.1308728125,7.352670234375,1.031361734375,385.559842578125,-0.000711546183009883,0.00310077104043305,0.00240474472320003,-0.000954797576180524,-0.00184684194958619,0.00342037665931037,0.00188194202723408,0.00451517744451494,0.000715829252692228,0.786627335299911,0.0545,0.0686666666666666,0.05619961,0.05619961,6205.937
"6","Q4","1991",11.6224246875,0.376832671875,0.756259640625,0.655104,3.767141,1.9755001875,7.60581715625,1.2840144375,387.116094046875,0.000456252586798832,0.00238296819671922,0.00211774137196276,0.00139382219417229,0.00296803667782634,-0.00170315221994349,0.00347100320037548,0.00361090434920601,0.00117615434524852,0.756097560975636,0.0443,0.071,0.0560253399999999,0.0560253399999999,6264.54
"7","Q1","1992",13.0925179047619,0.469419761904762,0.840071222222222,0.973115936507936,4.46236946031746,2.74823131746032,8.39531246031746,1.63203125396825,411.971903904762,0.00173505195241555,0.000778088127372504,-0.000521821091950937,0.0071142664658293,-0.000765150780679881,0.00765977356241042,-0.00141640527847214,0.00123402386719025,-0.000500437439661101,0.702009198741205,0.0398,0.0736666666666666,0.0558557653427124,0.0558557653427124,6363.102
"8","Q2","1992",14.6152875238095,0.413698888888889,0.848548777777778,1.34433612698413,3.72985746031746,3.29259514285714,8.21264407936508,1.5275376984127,410.061588888889,0.00139772596069289,-0.00273553057967417,-6.65424851812552e-05,0.00435650030420044,-0.00133385189921618,0.00260815336041309,0.000291556736543729,-0.00152616899401853,0.00019863758030195,0.817307692307689,0.0376,0.076,0.0556908399999999,0.0556908399999999,6470.763
"9","Q3","1992",13.568030984375,0.34022103125,0.925852875,1.3910241875,3.085429453125,3.179496453125,8.847975796875,1.468854859375,417.11906240625,-0.00185081062241507,-0.00066547012392847,0.00262880661767327,-0.000742872931222668,-0.0012822337400278,-0.00135419374100725,0.00158636866747522,0.00231111675797027,0.00038220923680384,0.786838340486422,0.0322,0.0763333333333333,0.0555305899999999,0.0555305899999999,6566.641
"10","Q4","1992",13.443504671875,0.39892234375,0.9235004375,1.436018078125,3.576982234375,3.423830078125,9.678209609375,1.768788984375,423.687655921875,0.00134792003542695,0.00462742644439248,-0.000997368947012164,0.00300316384433053,0.00281898620934332,0.00311645753246743,0.00134222132380559,0.00109565860686696,0.000670854676707646,0.709723207948884,0.0292,0.0736666666666666,0.05537511,0.05537511,6680.803
