DATE,GDP,GDP_PCH
1989-01-01,5511.253,2.06952
1989-04-01,5612.463,1.83642
1989-07-01,5695.365,1.47711
1989-10-01,5747.237,0.91078
1990-01-01,5872.701,2.18303
1990-04-01,5960.028,1.48700
1990-07-01,6015.116,0.92429
1990-10-01,6004.733,-0.17262
1991-01-01,6035.178,0.50702
1991-04-01,6126.862,1.51916
1991-07-01,6205.937,1.29063
1991-10-01,6264.54,0.94431
1992-01-01,6363.102,1.57333
1992-04-01,6470.763,1.69196
1992-07-01,6566.641,1.48171
1992-10-01,6680.803,1.73851
1993-01-01,6729.459,0.72830
1993-04-01,6808.939,1.18108
1993-07-01,6882.098,1.07446
1993-10-01,7013.738,1.91279
1994-01-01,7115.652,1.45306
1994-04-01,7246.931,1.84493
1994-07-01,7331.075,1.16110
1994-10-01,7455.288,1.69434
1995-01-01,7522.289,0.89870
1995-04-01,7580.997,0.78045
1995-07-01,7683.125,1.34716
1995-10-01,7772.586,1.16438
1996-01-01,7868.468,1.23359
1996-04-01,8032.84,2.08900
1996-07-01,8131.408,1.22706
1996-10-01,8259.771,1.57861
1997-01-01,8362.655,1.24560
1997-04-01,8518.825,1.86747
1997-07-01,8662.823,1.69035
1997-10-01,8765.907,1.18996
1998-01-01,8866.48,1.14732
1998-04-01,8969.699,1.16415
1998-07-01,9121.097,1.68788
1998-10-01,9293.991,1.89554
1999-01-01,9417.264,1.32637
1999-04-01,9524.152,1.13502
1999-07-01,9681.856,1.65583
1999-10-01,9899.378,2.24670
2000-01-01,10002.857,1.04531
2000-04-01,10247.679,2.44752
2000-07-01,10319.825,0.70402
2000-10-01,10439.025,1.15506
2001-01-01,10472.879,0.32430
2001-04-01,10597.822,1.19301
2001-07-01,10596.294,-0.01442
2001-10-01,10660.294,0.60398
2002-01-01,10788.952,1.20689
2002-04-01,10893.207,0.96631
2002-07-01,10992.051,0.90739
2002-10-01,11071.463,0.72245
2003-01-01,11183.507,1.01201
2003-04-01,11312.875,1.15677
2003-07-01,11567.326,2.24922
2003-10-01,11769.275,1.74586
2004-01-01,11920.169,1.28210
2004-04-01,12108.987,1.58402
2004-07-01,12303.34,1.60503
2004-10-01,12522.425,1.78070
2005-01-01,12761.337,1.90787
2005-04-01,12910.022,1.16512
2005-07-01,13142.873,1.80365
2005-10-01,13332.316,1.44141
2006-01-01,13603.933,2.03728
2006-04-01,13749.806,1.07229
2006-07-01,13867.469,0.85574
2006-10-01,14037.228,1.22415
2007-01-01,14208.569,1.22062
2007-04-01,14382.363,1.22316
2007-07-01,14535.003,1.06130
2007-10-01,14681.501,1.00790
2008-01-01,14651.039,-0.20749
2008-04-01,14805.611,1.05502
2008-07-01,14835.187,0.19976
2008-10-01,14559.543,-1.85804
2009-01-01,14394.547,-1.13325
2009-04-01,14352.85,-0.28967
2009-07-01,14420.312,0.47003
2009-10-01,14628.021,1.44039
2010-01-01,14721.35,0.63802
2010-04-01,14926.098,1.39082
2010-07-01,15079.917,1.03054
